date,y,trend,yearly
,0.11305684,0.59990513,0.41478136
,0.124611825,0.5996792,0.40156764
,0.20111215,0.599453,0.35288435
,0.28769505,0.5992265,0.31651938
,0.32416072,0.59899986,0.32395536
,0.2894096,0.59877294,0.36576924
,0.21601436,0.59854585,0.40076393
,0.16436756,0.5983185,0.39116645
,0.17643023,0.59809095,0.3356557
,0.24409899,0.5978632,0.27355325
,0.31575525,0.59763515,0.25586978
,0.33598745,0.5974069,0.30496964
,0.28807133,0.59717846,0.39427924
,0.20709947,0.59694976,0.46478164
,0.15386236,0.5967209,0.4672308
,0.16916385,0.5964917,0.39887607
,0.242984,0.5962624,0.3068853
,0.32185227,0.5960328,0.2551397
,0.34861743,0.595803,0.27846146
,0.30493918,0.59557295,0.35805535
,0.22456467,0.59534276,0.43627015
,0.16763845,0.59511226,0.45954335
,0.17564082,0.59488153,0.41746488
,0.24085638,0.5946506,0.34893018
,0.31313586,0.5944195,0.31127053
,0.33852577,0.5941881,0.33615136
,0.30013946,0.59395653,0.4057978
,0.23061803,0.59372467,0.46750927
,0.18671802,0.5934927,0.47514892
,0.20572308,0.5932604,0.42556655
,0.27681246,0.5930279,0.3617223
,0.34911203,0.5927952,0.3396715
,0.37038416,0.59256226,0.38439703
,0.32676348,0.5923291,0.468615
,0.25342473,0.59209573,0.5315763
,0.20808348,0.5918621,0.52458984
,0.22727793,0.59162825,0.4491766
,0.29873472,0.5913942,0.35843554
,0.37071556,0.59115994,0.3194492
,0.39120546,0.5909254,0.36398154
,0.3472941,0.5906907,0.46410626
,0.2746845,0.5904557,0.55150616
,0.23035613,0.5902206,0.56688595
,0.24913257,0.58998513,0.5032863
,0.31738555,0.5897495,0.41127184
,0.38402233,0.58951366,0.36194646
,0.40015054,0.5892776,0.3949057
,0.35680544,0.5890413,0.48952192
,0.29120082,0.5888048,0.5806303
,0.25596014,0.58856803,0.6067997
,0.27487946,0.58833104,0.55533314
,0.31965762,0.5880938,0.47069135
,0.75012064,0.5878564,0.42043895
,0.69223905,0.58761877,0.44447798
,0.6936481,0.58738095,0.5255617
,0.74294364,0.5871428,0.6030011
,0.791641,0.5869045,0.61900073
,0.79274905,0.586666,0.562595
,0.73854196,0.5864272,0.47812784
,0.668032,0.58618826,0.43189326
,0.6376945,0.585949,0.46202722
,0.6773393,0.5857096,0.54938495
,0.76498556,0.5854699,0.63137
,0.8407805,0.58523,0.64842993
,0.8505402,0.5849899,0.5884462
,0.7866168,0.5847496,0.49576044
,0.69503504,0.5845091,0.43808734
,0.6426554,0.5842683,0.45618364
,0.6681166,0.5840273,0.5339303
,0.7529122,0.583786,0.6111895
,0.8344346,0.5835446,0.62963593
,0.8517676,0.5833029,0.5769618
,0.7905253,0.583061,0.4962077
,0.6935002,0.58281887,0.45315617
,0.62913483,0.5825765,0.48633423
,0.6411144,0.582334,0.5773357
,0.71641403,0.58209115,0.6639613
,0.7953887,0.58184814,0.6865021
,0.816236,0.5816049,0.6325995
,0.760666,0.5813614,0.54694474
,0.6668904,0.58111775,0.49836373
,0.6005508,0.58087385,0.52870613
,0.60558283,0.5806297,0.6215637
,0.671795,0.5803853,0.71414334
,0.7432044,0.58014077,0.74347126
,0.7605524,0.5798959,0.6925413
,0.7059233,0.5796509,0.602283
,0.61605644,0.57940567,0.54075617
,0.5546146,0.57916015,0.55282897
,0.5644675,0.5789144,0.62789804
,0.63584924,0.57866853,0.7093407
,0.71406287,0.57842237,0.73799473
,0.74057806,0.57817596,0.6966891
,0.69639915,0.5779294,0.6223818
,0.6152282,0.57768255,0.5772063
,0.55699235,0.5774355,0.60072225
,0.5622462,0.5771882,0.6796205
,0.6221431,0.5769407,0.7577116
,0.686497,0.57669294,0.7784089
,0.7033247,0.57644504,0.7274329
,0.65933025,0.57619685,0.643373
,0.59022737,0.5759485,0.5882654
,0.5529657,0.57569987,0.60066557
,0.5811508,0.575451,0.66690814
,0.65796256,0.5752019,0.7323813
,0.7276791,0.5749526,0.74417794
,0.737491,0.5747031,0.6924854
,0.67797065,0.57445335,0.61891973
,0.5912114,0.57420343,0.58505356
,0.5399395,0.5739532,0.62475395
,0.5605706,0.5737028,0.7167054
,0.63565093,0.5734522,0.79860955
,0.70680416,0.5732013,0.8131368
,0.71876603,0.57295024,0.7514645
,0.6613903,0.57269895,0.6613572
,0.57769835,0.5724474,0.61292297
,0.5314721,0.57219565,0.6469166
,0.55854404,0.57194364,0.74385
,0.6386431,0.57169145,0.83719367
,0.70957303,0.571439,0.8614752
,0.7137135,0.57118636,0.8000219
,0.64217705,0.57093346,0.69728625
,0.5431209,0.5706804,0.62662995
,0.48718143,0.57042706,0.6372068
,0.5151566,0.5701735,0.7189443
,0.60681784,0.56991976,0.8109604
,0.6945386,0.56966573,0.84670645
,0.7123298,0.5694115,0.80226135
,0.64440924,0.56915706,0.7123265
,0.5373908,0.56890243,0.64291847
,0.46677798,0.5686475,0.6418749
,0.48212808,0.5683924,0.704252
,0.57101834,0.56813705,0.7779465
,0.66818595,0.56788146,0.8043945
